Time,aX,aY,aZ,gX,gY,gZ,Prs,mX,mY,mZ,state
0.902,-0.316406,-0.20752,10.843262,40.36031105,-1.03718197,-9.739467545,101110.9985,0.119994,0.084027,0.619619,1
0.912,-0.322266,-0.163086,10.778809,40.84811605,-2.19571797,-10.22727255,101110.9985,0.118139,0.071662,0.622426,1
0.922,-0.206055,-0.102051,10.777344,40.97006805,-2.92742497,-10.34922455,101098.999,0.115231,0.07346,0.616781,1
0.932,-0.229004,-0.164551,10.722168,40.36031105,-1.46401097,-10.34922455,101065.9973,0.130325,0.067167,0.614347,1
0.942,-0.270508,-0.255859,10.675293,40.05543305,-0.73230297,-10.22727255,101078.0029,0.11999,0.066131,0.618857,1
0.952,-0.348633,-0.346191,10.660156,39.87250705,-1.64693797,-10.34922455,101061.9995,0.115986,0.067194,0.617811,1
0.962,-0.259766,-0.319336,10.633789,39.56762905,-2.68352297,-10.77605355,101036.9995,0.116372,0.066258,0.621632,1
0.972,-0.222168,-0.33252,10.59375,39.01884605,-2.01279097,-11.38580955,101036.9995,0.117356,0.054805,0.622395,1
0.982,-0.232422,-0.35498,10.577148,38.28714205,-0.97620597,-12.54434555,101025,0.133164,0.051747,0.612657,1
0.992,-0.34082,-0.444824,10.54248,37.37250705,-0.85425497,-13.21507755,101033.0017,0.116976,0.0553,0.617586,1
1.002,-0.320312,-0.459961,10.54248,36.82372505,-1.89083997,-13.58093155,101013.0005,0.118953,0.0475,0.623126,1
1.012,-0.245117,-0.433594,10.484863,36.39689805,-2.07376697,-14.19068755,101000,0.11664,0.04699,0.623517,1
1.022,-0.195312,-0.420898,10.450684,35.54323805,-1.03718197,-15.04434555,100988.0005,0.116198,0.046999,0.620738,1
1.032,-0.276855,-0.508789,10.410645,34.32372505,-0.36644997,-15.41020055,100963.0005,0.131772,0.033129,0.616182,1
1.042,-0.319336,-0.568848,10.356934,33.16519005,-1.15913297,-15.83702955,100963.0005,0.120072,0.037465,0.621926,1
1.052,-0.240723,-0.570312,10.333496,32.43348105,-1.70791297,-16.26385755,100939.0015,0.115962,0.039023,0.619094,1
