X	Y	Z
-4.84108	1.83396	-7.97269
-4.84586	1.84354	-7.94875
-4.85065	1.84354	-7.96311
-4.84108	1.84354	-7.95833
-4.85544	1.83875	-7.95354
-4.84586	1.84832	-7.97269
-4.83629	1.83875	-7.94875
-4.84108	1.83875	-7.95833
-4.85544	1.84832	-7.98227
-4.84586	1.83396	-7.94396
-4.84586	1.83396	-7.96311
-4.85065	1.83875	-7.96311
-4.85065	1.83875	-7.94875
-4.84108	1.84354	-7.9679
-4.85065	1.83875	-7.9679
-4.83629	1.83875	-7.94875
-4.84586	1.83396	-7.9679
-4.84586	1.83875	-7.97748
-4.84586	1.84354	-7.97269
-4.84108	1.83396	-7.95833
-4.84586	1.84832	-7.97748
-4.84108	1.83875	-7.97269
-4.84108	1.83396	-7.97748
-4.85544	1.84354	-7.96311
-4.84586	1.84832	-7.96311
-4.8315	1.83396	-7.9679
-4.84586	1.83875	-7.97269
-4.84586	1.82917	-7.95833
-4.84108	1.85311	-7.99185
-4.84108	1.82917	-7.9679
-4.84586	1.81959	-7.95833
4.79798	-2.62405	-7.77637
4.81713	-2.63362	-7.78116
4.82671	-2.62405	-7.77637
4.8315	-2.62405	-7.78594
4.8315	-2.60968	-7.77158
4.84586	-2.61447	-7.77637
4.84586	-2.61447	-7.77637
4.84586	-2.60968	-7.75243
4.86502	-2.6001	-7.762
4.86502	-2.59053	-7.76679
4.86502	-2.6001	-7.75243
4.87938	-2.60489	-7.75721
4.87938	-2.6001	-7.75243
4.88417	-2.59531	-7.762
4.88896	-2.60489	-7.74285
4.89854	-2.59053	-7.77158
4.87938	-2.59531	-7.73806
4.89375	-2.59531	-7.74764
4.88896	-2.6001	-7.73806
4.90811	-2.59531	-7.76679
4.90333	-2.59053	-7.72369
4.89375	-2.59531	-7.74764
4.89854	-2.58574	-7.73327
4.90811	-2.59531	-7.73806
4.89375	-2.58574	-7.73806
4.90811	-2.59053	-7.74285
4.89854	-2.58095	-7.75721
4.89854	-2.58095	-7.71891
4.9129	-2.58574	-7.75243
4.9129	-2.59531	-7.74285
4.9129	-2.58574	-7.73806
4.91769	-2.59531	-7.72848
4.92248	-2.58574	-7.73806
4.9129	-2.57616	-7.73806
4.91769	-2.57616	-7.71412
4.93684	-2.58095	-7.74285
4.92727	-2.58095	-7.71891
4.92248	-2.58095	-7.72848
4.92727	-2.57616	-7.74285
4.92727	-2.57616	-7.72848
4.94163	-2.58095	-7.73327
4.93206	-2.57137	-7.73806
4.94163	-2.57137	-7.72369
4.92727	-2.57616	-7.73327
4.91769	-2.57137	-7.73327
4.92727	-2.57616	-7.72369
4.93206	-2.57137	-7.73806
4.92727	-2.57616	-7.73327
4.92248	-2.57616	-7.72848
4.93684	-2.56658	-7.72848
4.92727	-2.56658	-7.72848
4.93684	-2.58574	-7.72848
4.93206	-2.57616	-7.72848
4.94163	-2.57616	-7.73327
4.93684	-2.56658	-7.73806
4.94163	-2.57616	-7.72848
4.93684	-2.57137	-7.71891
3.62482	-5.55934	7.29274
3.60567	-5.56891	7.3071
3.61046	-5.54976	7.29274
3.62003	-5.55934	7.29753
3.61524	-5.55934	7.29274
3.61524	-5.54976	7.29274
3.61046	-5.55455	7.3071
3.61046	-5.55934	7.30232
3.60567	-5.55455	7.29753
3.60088	-5.54976	7.30232
3.61524	-5.55455	7.30232
3.60567	-5.56412	7.29753
3.60088	-5.54976	7.29274
3.61046	-5.55455	7.3071
3.60088	-5.55455	7.31189
3.61524	-5.55455	7.31668
3.5913	-5.54976	7.30232
3.60567	-5.55455	7.29753
3.59609	-5.55934	7.30232
3.60088	-5.55455	7.30232
3.59609	-5.55455	7.30232
3.60567	-5.55455	7.29274
3.60088	-5.55455	7.30232
3.60567	-5.55455	7.3071
3.60567	-5.55455	7.3071
3.61046	-5.55455	7.3071
3.60088	-5.54497	7.31189
3.59609	-5.54976	7.3071
3.60088	-5.55934	7.31189
3.5913	-5.55455	7.31189
3.60088	-5.56891	7.32626
3.60088	-5.54497	7.32147
3.60088	-5.54976	7.3071
3.5913	-5.56412	7.30232
3.60567	-5.54976	7.31189
3.5913	-5.56891	7.31189
3.61046	-5.56412	7.3071
3.59609	-5.54976	7.31189
3.59609	-5.55455	7.3071
3.5913	-5.56412	7.31189
3.60088	-5.55455	7.32147
3.5913	-5.56891	7.30232
3.5913	-5.54976	7.30232
3.60088	-5.54976	7.31189
3.5913	-5.55934	7.31668
3.5913	-5.55455	7.31668
3.59609	-5.56412	7.32626
3.5913	-5.55934	7.31668
3.58651	-5.55934	7.3071
3.58651	-5.55455	7.30232
3.5913	-5.55455	7.31668
3.5913	-5.54976	7.31189
3.58651	-5.55455	7.32147
3.58651	-5.54976	7.31189
3.5913	-5.55455	7.31189
3.58651	-5.55455	7.31668
3.57694	-5.54976	7.32147
3.57694	-5.54976	7.31668
3.58651	-5.55934	7.31189
3.5913	-5.55934	7.32626
3.58173	-5.55455	7.31668
3.57694	-5.56412	7.31668
3.58651	-5.55934	7.32147
3.5913	-5.55934	7.32626
3.57215	-5.55934	7.31189
3.58651	-5.55934	7.33105
3.58173	-5.55455	7.32147
3.58651	-5.54497	7.32147
3.5913	-5.56891	7.32147
3.57694	-5.54976	7.33105
3.5913	-5.55934	7.32626
3.57694	-5.54976	7.31668
0.21069	-5.30076	-7.92002
0.21548	-5.29597	-7.92002
0.21069	-5.31034	-7.92002
0.21069	-5.28161	-7.91044
0.21548	-5.29119	-7.92002
0.21548	-5.31034	-7.9296
0.21069	-5.30076	-7.92481
0.21548	-5.2864	-7.92002
0.21548	-5.30076	-7.91044
0.22027	-5.30555	-7.9296
0.2059	-5.30076	-7.92002
0.2059	-5.29597	-7.92481
0.22505	-5.29597	-7.92481
0.21548	-5.29119	-7.92002
0.21548	-5.30076	-7.94396
0.2059	-5.29119	-7.90565
0.2059	-5.30076	-7.93438
0.21069	-5.29597	-7.90565
0.21548	-5.31034	-7.93438
0.21548	-5.29597	-7.90565
0.22027	-5.30555	-7.93438
0.21069	-5.30555	-7.90087
0.21069	-5.28161	-7.92481
0.21548	-5.30555	-7.92002
0.22027	-5.30076	-7.91044
0.22505	-5.30555	-7.92481
0.21548	-5.29597	-7.91044
0.21548	-5.30076	-7.92002
0.20111	-5.30076	-7.92481
0.21069	-5.29597	-7.92002
0.21548	-5.2864	-7.90565
0.22505	-5.29597	-7.92002
0.21548	-5.30076	-7.92481
0.21069	-5.29597	-7.92002
0.2059	-5.30076	-7.92002
0.2059	-5.29119	-7.90565
0.22027	-5.31513	-7.92481
0.21548	-5.30555	-7.91523
0.2059	-5.29597	-7.92481
0.22027	-5.28161	-7.92002
0.21548	-5.29597	-7.9296
0.22027	-5.2864	-7.90087
0.21548	-5.29119	-7.93438
0.21548	-5.29119	-7.90087
0.21069	-5.30076	-7.93438
0.22027	-5.30076	-7.91523
0.22027	-5.29597	-7.9296
0.21548	-5.29597	-7.91044
0.21069	-5.29597	-7.92481
0.20111	-5.2864	-7.91523
0.22027	-5.30555	-7.9296
0.22505	-5.2864	-7.92002
0.21069	-5.29597	-7.92481
0.21548	-5.29597	-7.92002
0.21548	-5.30555	-7.92481
0.21548	-5.29597	-7.92002
0.21548	-5.30555	-7.9296
0.22027	-5.2864	-7.91044
0.22027	-5.29119	-7.92481
0.21548	-5.29119	-7.92002
0.22027	-5.30076	-7.92002
0.2059	-5.27682	-7.92002
0.22027	-5.29119	-7.93438
0.21069	-5.2864	-7.91523
0.22027	-5.29597	-7.91523
0.22027	-5.29597	-7.92481
0.2059	-5.30076	-7.92481
0.21069	-5.2864	-7.91044
0.21069	-5.2864	-7.92481
0.22027	-5.29597	-7.92481
0.21548	-5.30076	-7.92481
0.22027	-5.2864	-7.92481
0.2059	-5.29597	-7.91523
0.22505	-5.29597	-7.92002
0.21548	-5.30555	-7.91523
0.21548	-5.30555	-7.92481
0.21548	-5.30555	-7.91523
0.21069	-5.2864	-7.92481
0.21069	-5.30076	-7.91523
0.2059	-5.31513	-7.92002
0.21069	-5.29597	-7.91523
7.63272	-4.00311	4.68785
7.62314	-3.98395	4.69742
7.63272	-3.98874	4.69742
7.62314	-3.99832	4.70221
7.63272	-3.98395	4.707
7.61835	-4.00311	4.71179
7.61835	-3.99832	4.69264
7.63272	-3.99353	4.70221
7.62314	-3.97916	4.69264
7.61356	-3.98874	4.69264
7.63272	-4.00311	4.68785
7.61356	-3.99832	4.68306
7.64229	-3.98874	4.68306
7.62793	-3.98395	4.67827
7.63272	-3.99832	4.70221
7.61356	-3.98874	4.68306
7.62793	-4.00311	4.69264
7.61835	-3.98874	4.69742
7.63272	-3.98874	4.69264
7.62314	-3.96959	4.68785
7.62793	-4.00789	4.69264
7.61835	-3.98874	4.67827
7.62793	-3.98395	4.69264
7.61356	-3.98874	4.69742
7.62314	-3.98874	4.69742
7.63272	-4.00789	4.68306
7.6375	-3.97437	4.707
7.61835	-4.03184	4.69264
7.62314	-3.97916	4.69264
7.62793	-3.98395	4.69264
7.61835	-3.98874	4.707
7.62314	-3.98395	4.707
7.63272	-3.98395	4.68785
7.62793	-3.99353	4.69264
7.63272	-3.99353	4.707
7.63272	-3.99353	4.707
7.62793	-4.00311	4.69264
7.62793	-4.00311	4.68306
7.62314	-4.00311	4.69742
2.63362	5.6551	7.5992
2.63362	5.6551	7.58962
2.63362	5.65032	7.59441
2.63362	5.65032	7.59441
2.63362	5.65989	7.58962
2.63362	5.6551	7.58962
2.63841	5.64553	7.59441
2.64799	5.6551	7.58962
2.6432	5.64074	7.58483
2.65278	5.67426	7.59441
2.63841	5.64074	7.59441
2.64799	5.67426	7.58004
2.63362	5.64553	7.58962
2.64799	5.6551	7.58962
2.64799	5.65032	7.58483
2.6432	5.6551	7.58483
2.63841	5.6551	7.58483
2.64799	5.64074	7.58004
2.64799	5.64553	7.59441
2.64799	5.64553	7.58004
2.6432	5.64553	7.57047
2.65756	5.65032	7.58004
2.6432	5.63595	7.55131
2.64799	5.6551	7.57525
2.63362	5.64553	7.57047
2.66235	5.65989	7.57525
2.64799	5.63595	7.57047
2.6432	5.66468	7.58004
2.6432	5.63595	7.57047
2.6432	5.65989	7.57047
2.62883	5.64553	7.57525
2.64799	5.65032	7.56089
2.62883	5.63595	7.57047
2.6432	5.64074	7.56089
2.64799	5.65032	7.58483
